Symmetric Team Fixed Effects
Minimum appearances: 5
Display shrinkage for teams with 25 or fewer appearances: appearances / (appearances + 25)

Rank,Team,Shrunk Coefficient,Shrunk Viewer Multiplier,Raw Coefficient,Raw Viewer Multiplier,Appearances,Shrinkage Factor
81,Mississippi State,0.101615,1.107,0.228633,1.257,20,0.444
82,Stanford,0.100728,1.106,0.210215,1.234,23,0.479
83,UMass,0.098823,1.104,0.288866,1.335,13,0.342
84,Oregon State,0.092258,1.097,0.301935,1.352,11,0.306
85,USC,0.080926,1.084,0.080926,1.084,54,1.000
86,Indiana State,0.080782,1.084,0.369290,1.447,7,0.219
87,Georgia Tech,0.076550,1.080,0.177274,1.194,19,0.432
88,Drake,0.069413,1.072,0.227169,1.255,11,0.306
89,Little Rock,0.068454,1.071,0.353677,1.424,6,0.194
90,Nevada,0.066932,1.069,0.150598,1.163,20,0.444
91,Boston College,0.064812,1.067,0.154828,1.167,18,0.419
92,San Diego State,0.064312,1.066,0.137394,1.147,22,0.468
93,St. Bonaventure,0.062361,1.064,0.154068,1.167,17,0.405
94,Hawaii,0.058370,1.060,0.266835,1.306,7,0.219
95,Washington,0.057734,1.059,0.057734,1.059,48,1.000
96,Boise State,0.055267,1.057,0.110534,1.117,25,0.500
97,Tulane,0.053841,1.055,0.107682,1.114,25,0.500
98,Saint Louis,0.049642,1.051,0.114960,1.122,19,0.432
99,Florida Atlantic,0.048471,1.050,0.048471,1.050,43,1.000
100,Saint Mary's,0.047532,1.049,0.097044,1.102,24,0.490
101,San Jose State,0.045522,1.047,0.159329,1.173,10,0.286
102,Longwood,0.044886,1.046,0.231912,1.261,6,0.194
103,Fordham,0.043429,1.044,0.164066,1.178,9,0.265
104,San Francisco,0.042105,1.043,0.117293,1.124,14,0.359
105,Colorado,0.037398,1.038,0.037398,1.038,26,1.000
106,Bradley,0.036951,1.038,0.102935,1.108,14,0.359
107,UNLV,0.035732,1.036,0.099540,1.105,14,0.359
108,Wyoming,0.035251,1.036,0.182128,1.200,6,0.194
109,Toledo,0.034072,1.035,0.204430,1.227,5,0.167
110,Yale,0.029828,1.030,0.123041,1.131,8,0.242
111,Milwaukee,0.029402,1.030,0.151913,1.164,6,0.194
112,Washington State,0.024464,1.025,0.071511,1.074,13,0.342
113,Western Illinois,0.024150,1.024,0.144902,1.156,5,0.167
114,Illinois State,0.023769,1.024,0.142615,1.153,5,0.167
115,Quinnipiac,0.022729,1.023,0.136374,1.146,5,0.167
116,Wright State,0.022269,1.023,0.091860,1.096,8,0.242
117,UNI,0.019756,1.020,0.069147,1.072,10,0.286
118,Appalachian State,0.018914,1.019,0.113484,1.120,5,0.167
119,Richmond,0.017877,1.018,0.062570,1.065,10,0.286
120,Saint Joseph's,0.017538,1.018,0.043329,1.044,17,0.405
121,Purdue Fort Wayne,0.013378,1.013,0.069120,1.072,6,0.194
122,Akron,0.012021,1.012,0.045412,1.046,9,0.265
123,Utah State,0.006638,1.007,0.016401,1.017,17,0.405
124,East Carolina,0.001565,1.002,0.004172,1.004,15,0.375
125,California,0.000565,1.001,0.001573,1.002,14,0.359
126,High Point,-0.000265,1.000,-0.001211,0.999,7,0.219
127,Grand Canyon,-0.004523,0.995,-0.015832,0.984,10,0.286
128,Chattanooga,-0.006169,0.994,-0.031875,0.969,6,0.194
129,UCF,-0.006612,0.993,-0.019329,0.981,13,0.342
130,Howard,-0.006771,0.993,-0.034986,0.966,6,0.194
131,Loyola Marymount,-0.008526,0.992,-0.051156,0.950,5,0.167
132,North Texas,-0.012073,0.988,-0.024145,0.976,25,0.500
133,Duquesne,-0.012996,0.987,-0.042532,0.958,11,0.306
134,Murray State,-0.017303,0.983,-0.079100,0.924,7,0.219
135,George Washington,-0.020898,0.979,-0.073145,0.929,10,0.286
136,Marist,-0.021940,0.978,-0.131640,0.877,5,0.167
137,UNC Greensboro,-0.027118,0.973,-0.162707,0.850,5,0.167
138,Morehead State,-0.027766,0.973,-0.126932,0.881,7,0.219
139,Princeton,-0.028726,0.972,-0.148417,0.862,6,0.194
140,Rice,-0.028915,0.971,-0.119273,0.888,8,0.242
141,Rhode Island,-0.029040,0.971,-0.101640,0.903,10,0.286
142,South Florida,-0.029997,0.970,-0.029997,0.970,27,1.000
143,ETSU,-0.031637,0.969,-0.189823,0.827,5,0.167
144,Oakland,-0.032736,0.968,-0.196414,0.822,5,0.167
145,UC Irvine,-0.032869,0.968,-0.115042,0.891,10,0.286
146,Davidson,-0.033197,0.967,-0.102358,0.903,12,0.324
147,George Mason,-0.033360,0.967,-0.116759,0.890,10,0.286
148,Louisiana Tech,-0.035467,0.965,-0.183244,0.833,6,0.194
149,Tulsa,-0.038021,0.963,-0.105917,0.899,14,0.359
150,Southern,-0.041281,0.960,-0.213285,0.808,6,0.194
151,UTSA,-0.041374,0.959,-0.156302,0.855,9,0.265
152,Air Force,-0.041456,0.959,-0.248734,0.780,5,0.167
153,Texas Southern,-0.043542,0.957,-0.199047,0.820,7,0.219
154,UC Santa Barbara,-0.047317,0.954,-0.244470,0.783,6,0.194
155,Southeast Missouri,-0.048692,0.952,-0.292149,0.747,5,0.167
156,UNC Asheville,-0.050925,0.950,-0.232802,0.792,7,0.219
157,Loyola Chicago,-0.057378,0.944,-0.176917,0.838,12,0.324
158,La Salle,-0.058229,0.943,-0.179541,0.836,12,0.324
159,Jackson State,-0.060841,0.941,-0.278131,0.757,7,0.219
160,Samford,-0.076329,0.927,-0.348931,0.705,7,0.219
161,Fresno State,-0.078700,0.924,-0.472199,0.624,5,0.167
162,Cleveland State,-0.078787,0.924,-0.407065,0.666,6,0.194
163,UT Martin,-0.079243,0.924,-0.409424,0.664,6,0.194
164,UAB,-0.079888,0.923,-0.079888,0.923,27,1.000
165,Charlotte,-0.083084,0.920,-0.198478,0.820,18,0.419
166,Norfolk State,-0.088264,0.916,-0.529583,0.589,5,0.167
167,Colorado State,-0.088868,0.915,-0.274008,0.760,12,0.324
168,DePaul,-0.099678,0.905,-0.099678,0.905,45,1.000
169,Tennessee State,-0.114150,0.892,-0.589775,0.554,6,0.194
